title,year,rating
Frozen I,2013,75
Rocky,1976,81
Breaveheart,1995,83
The Dark Knight,2008,90
Wonder Woman,2017,74
How to Train your Dragon,2010,81
Ant-Man,2015,73
Harry Potter and the Dearhly Hallows: Part 2,2011,81
The Silence of Lambs,1991,86
Star Wars: Episode VIII: The Last Jedi,2017,70
The Godfather II,1974,90
Star Wars: Episode IV  - A New Hope,1977,86
Star Trek,2009,79
Iron Man,2008,79
Sider-Man,2002,73
Avengers: Infinity War,2018,85
Titanic,1997,78
Superman,1978,73
The Godfather I,1972,92
Avengers: Age of Ultron,2015,73
Captain America: Civil War,2016,78
The Lion King,2019,70
Hugo,2011,75
The Avengers,2012,80
Transformers,2007,70
Pirates of the Caribbean: The Curse of the Black Pearl,2003,80
Alice in Wonderland,2010,64
Deadpool,2016,80
The Lego Movie,2014,78
Frozen II,2019,72
The Lord of the Rings: The Return of the King,2003,89
Jurassic Park,1993,81
Star Wars: TheEmpire Strikes Back,1980,87
Guardians of the Galaxy,2014,80
Pulp Fiction ,1994,89
The Amazing Spider-Man 2,2014,66
Forrest Gump,1994,88
Back to the Future,1985,85
Iron Man 3,2013,72
The Matrix,1999,87
Jumanji: Welcome to the Jungle,2017,69
The Lord of the Rings: The Two Towers,2002,87
Gladiator,2000,85
Night at the Museum,2006,64
Bumblebee,2018,68
Avatar,2009,78
X-Men,2000,74
